archer     n.(运动或战争中的)弓箭手,射手
archetype     n.原型;典型例子
archipelago     n.群岛
architect     n.建筑师
archive     n.档案室
arctic     a.北极的,极寒的
ardent     adj.热心的,热烈的
ardor     n.热情,狂热
arduous     adj.费力的,艰难的
arena     n.(角斗的)竞技场
argot     n.隐语,黑话
argumentation     n.立论,辩论
arid     adj.干旱的;枯燥的
aria     n.独唱曲,咏叹调
aristocrat     n.贵族
arithmetic     n.算术
armada     n.舰队
armistice     n.休战,停战
armory     n.军械库
aroma     n.芳香,香气
arouse     v.唤醒;激发
arraign     v.传讯;指责
arrangement     n.安排
array     v.部署
arrest     v.依法逮捕;阻止,抑制
arresting     adj.显著的,引人注意的
arrhythmic     adj.无节奏的,不规则的
arrogant     adj.傲慢的,自大的
arrogate     v.冒称具有...权利
arroyo     n.干涸的河床,小河
arsenal     n.军械库
arson     n.纵火,放火
artery     n.动脉,命脉
artful     adj.狡猾的,奸诈的
arthritis     n.关节炎
articulate     v.清楚说话;接合
artifact     n.人工制品
artifice     n.巧办法;诡计
artificial     adj.人造的,假的
artillery     n.大炮,炮兵
artisan     n.技工
artistry     n.艺术技巧
artless     adj.粗俗的,自然的
ascend     v.上升,攀登
ascendancy     n.统治权,支配力量
ascendant     adj.上升的,占支配地位的
ascent     n.上升,攀登
ascertain     v.查明,确定
ascetic     adj.禁欲的n.苦行者
ascribe     v.归功于、归咎于某人、某事物
aseptic     adj.无菌的,洁净的
asinine     adj.愚笨的
askance     adv.侧目而视,瞟
askew     adj.歪斜的v.歪斜,弯曲
asparagus     n.芦笋,龙须菜(可作蔬菜)
asperity     n.粗鲁,艰苦
aspersion     n.诽谤,中伤
asphyxia     n.窒息
asphyxiate     v.(使)无法呼吸,窒息而死
aspirant     n.有抱负者
aspiration     n.抱负,热望
assail     v.抨击,猛攻
assault     n.突然袭击,猛袭
assay     n.|v.试验,测定
assemble     v.集合,聚集;装配,安装
assent     v.同意,赞成
assert     v.断言,主张
assess     v.确定,评定;估计...质量
asset     n.财产;可取之处
assiduous     adj.勤勉的;专心的
assimilate     v.同化;吸收
assist     v.帮助,协助;参加某事物
associate     adj.联合的n.合伙人v.将人或事物联系起来
assorted     adj.混杂的
assuage     v.缓和,减轻
assume     v.假定;承担,担任
assumed     adj.假装的,假的
assure     v.向某人保证,确信
assured     adj.自信的;确定的
asteroid     n.小行星
asthma     n.哮喘症
astigmatic     adj.散光的,乱视的
astound     v.使震惊
astounding     adj.使人震惊的
astral     adj.星状的
astray     adj.迷路的,误入歧途的
astringent     adj.止血的,收缩的
astrolabe     n.星盘(古代星位观测仪)
astrology     n.占星学,占星术
astronomy     n.天文学
astute     adj.机敏的,精明的
asunder     a.|adv.分离的;化为碎片
asylum     n.避难所,庇护所
asymmetric      adj.不对称的
asymptomatic      adj.无症状的
asynchronous     adj.不同时的
atheism     n.无神论,不信神
athletics     n.运动,体育
atlas     n.地图集
atonal     adj.(音乐)无调的
atone     v.赎罪,补偿
atrocious     adj.残忍的,凶恶的
atrocity     n.残暴,暴行
atrophy     n.|v.萎缩,衰退
attach     v.将某物系在(另一物)上
attain     v.达到,实现
attentive     adj.留心听的,关心的
attenuate     v.变薄;变弱
attest      v.证明
attic     n.阁楼,顶楼
attire     v.穿着,装饰n.好衣服
attorney     n.律师
attraction     n.吸引力
attribute     n.属性,品质v.把...归于
attrition     n.消磨,磨损
attune      v.使调和
atypical     adj.非典型的
auction     n.拍卖
audacious     adj.大胆的,愚勇的
audacity     n.大胆,鲁莽
audible     adj.听得见的
audition     n.(演员等)试唱、试演
audit     v.审计,核对;旁听
auger     n.螺丝钻,钻孔机
augment     v.增大,增值
augur     n.占卜师v.占卜
augury     n.预言,征兆,占卜
august     adj.威严的,高贵的
aureole     n.日冕,光轮
auricular     adj.耳的
aurora     n.极光(南北极夜晚所放彩光)
auspices     n.资助,赞助
auspicious     adj.幸运的;吉兆的
austere     adj.朴素的,(人)正经的
austerity     n.朴素,艰苦
authentic     adj.真正的;法律证实的
authenticate     v.证明(某物)为真
authoritarian     n.极权主义者
authoritative     adj.权威性的,命令式的
authority     n.权威,权力
authorize     v.授权,批准
autobiography     n.自传
autocrat     n.独裁者
automation     n.自动装置
autonomy     n.自治,独立
autopsy     n.尸体解剖,验尸
auxiliary     adj.辅助的,协助的
available     adj.可用的,可得到的
avalanche     n.雪崩
avant-garde  n.(艺术)先锋派
avarice     n.贪财,贪婪
avaricious     a.贪婪的,贪心的
avenge     v.为...复仇,为...报仇
aver     v.极力声明;断言
averse     adj.不愿的,反对的
aversion     n.嫌恶,憎恨
avert     v.避免,防止;避开
aviary     n.大鸟笼,鸟舍
avid     adj.渴望的;热心的
avocation     n.副业,嗜好
avoid     v.避开,躲避
avow     v.承认;公开宣称
avulse     v.(由于意外的事故或通过外科手术)把(身体的一部分)撕脱
avuncular     adj.伯(叔)父的
awash     adj.被海水淹没的
awe     v.敬畏
awe-inspiring adj.令人敬畏的
awkward     adj.笨拙的,难用的;不便的
awl     n.(钻皮革的)尖钻
awning     n.遮阳蓬,雨蓬
awry     adj.扭曲的,走样的
axiom     n.公理;定理
axiomatic     adj.不需证明的,不言自明的
axis     n.轴(常为虚构之线,如地球轴)
axle     n.轮轴(连接两个车轮的轴)
azure     n.天蓝色adj.蔚蓝的
babble     v.说蠢话;牙牙学语
bacchanal     n.(行为放纵的)狂欢会
backdrop     n.背景幕布
backhanded     a.间接的
backset     n.倒退
backslide     v.故态复萌
backwater     n.死水
badge     n.徽章(如校徽等)
badger     n.獾v.一再烦扰,一再要求
badinage     n.开玩笑,打趣
baffle     v.使困惑,难倒
bait     n.诱饵v.逗弄,激怒
bail     n.保释金
bale     n.大包裹;灾祸,不幸
baleful     adj.邪恶的,恶意的
balk     n.大方木料v.妨碍;(因困难等)不愿前进或从事某事
ballad     n.歌谣,小曲
ballast     n.(船等)压舱物
ballerina     n.芭蕾舞女演员
balloon     n.气球v.快速增加
ballot     n.|v.投票
ballroom     n.大舞厅
balm     n.香油,药膏
balmy     adj.(气候)温和的,芳香的
banal     adj.陈腐的
banality     n.陈腐,陈词滥调
bandage     n.绷带
bandy     v.来回抛球,轻率谈论
bane     n.祸根
baneful     adj.有害的,致祸的
banish     v.放逐某人
banister     n.(楼梯的)栏杆
bankrupt     adj.破产的
banquet     n.宴会,盛宴
banter     n.打趣,玩笑
barb     n.(鱼钩的)倒钩;严厉的批评
barbarous     adj.野蛮的,残暴的
barbecue     n.烤肉架,烤肉
bard     n.吟游诗人
bare     v.暴露adj.赤露的
barefaced     adj.厚颜无耻的,公然的
barge     n.平底货船,驳船
bark     v.狗吠n.树皮
barn     n.谷仓
barometer     n.气压计,晴雨表
baron     n.贵族,巨头
baroque     n.|adj.(艺术、建筑等)过分雕琢的
barrage     n.弹幕;堰,拦河坝
